country,gdp_per_capita,life_expectancy
Aruba,26827.3447869986,73.655
Afghanistan,356.496214115892,60.417
Angola,2266.96834861584,62.958
Albania,7242.45513146613,76.844
Andorra,42425.6996761083,82.331
United Arab Emirates,44118.4936214315,79.083
Argentina,10738.0179223384,73.948
Armenia,4685.17997128509,72.2780487804878
American Samoa,15236.1604875571,72.708
Antigua and Barbuda,17348.6006987182,77.197
Australia,60758.9044397144,83.3
Austria,53648.6437976214,81.190243902439
Azerbaijan,5408.04535175023,70.999
Burundi,264.172844085398,62.101
Belgium,51658.238294958,81.790243902439
Benin,1318.65158075198,59.61
Burkina Faso,895.535288442991,60.046
Bangladesh,2482.84917843357,71.103
Bulgaria,12966.8085197381,71.2121951219512
Bahrain,27147.8083882286,78.083
"Bahamas, The",30367.8605757708,70.752
Bosnia and Herzegovina,7295.34378682258,74.567
Belarus,7489.71894713888,72.0714634146342
Belize,6142.98930557031,70.917
Bermuda,112765.08167306,81.745
Bolivia,4010.76053686204,61.427
Brazil,7972.5366498646,73.038
Barbados,21084.4013935998,76.58
Brunei Darussalam,31006.9636289785,74.869
Bhutan,3570.61257980872,72.448
Botswana,7807.88794570471,63.303
Central African Republic,492.263142830507,40.279
Canada,52886.6407813788,81.4514634146342
Switzerland,96582.8687080693,83.7512195121951
Channel Islands,66915.3963925722,80.3
Chile,16216.1840860289,78.876
China,12887.4357242941,78.117
Cote d'Ivoire,2455.98127641148,60.29
Cameroon,1672.32657340872,61.146
"Congo, Dem. Rep.",595.743074403567,60.044
"Congo, Rep.",2516.16255145432,64.192
Colombia,6222.62164397614,72.698
Comoros,1587.72988658008,65.201
Cabo Verde,3971.44409203423,74.424
Costa Rica,12962.2716075659,78.05
Curacao,17795.5826483092,75.686
Cayman Islands,86449.6749037302,79.3
Cyprus,32937.8359375,80.573
Czechia,27696.4619527544,77.2219512195122
Germany,52349.2459994422,80.790243902439
Djibouti,3025.91126413549,63.83
Dominica,8376.40414141113,69.832
Denmark,69340.7334922138,81.4048780487805
Dominican Republic,8527.0754858205,71.757
Algeria,4160.55926736925,75.208
Ecuador,6061.32350181711,72.746
"Egypt, Arab Rep.",3827.35415374308,68.976
Spain,30799.4775937775,83.1780487804878
Estonia,27951.1659277744,76.9439024390244
Ethiopia,893.009835441784,65.33
Finland,53099.1351400148,81.8853658536585
Fiji,4536.73312110335,64.904
France,43725.0999521245,82.3243902439024
Faroe Islands,69421.6981686515,82.6763219512195
"Micronesia, Fed. Sts.",3508.22314197664,66.152
Gabon,8181.40914134398,67.072
United Kingdom,47695.6491523474,80.6473170731707
Georgia,5083.60695484577,71.635
Ghana,2445.18662529344,64.286
Guinea,1244.96550477914,59.373
"Gambia, The",781.890925169531,63.847
Guinea-Bissau,926.54619187706,61.653
Equatorial Guinea,6945.63069794539,62.447
Greece,20652.89659591,80.0829268292683
Grenada,9617.28902905373,74.522
Greenland,58135.9939910203,71.2614634146342
Guatemala,4912.62240414681,67.858
Guam,38074.8793745801,75.434
Guyana,9860.87014834386,64.323
"Hong Kong SAR, China",49770.5642374739,85.5326829268293
Honduras,2735.14751503977,69.492
Croatia,17788.7601163765,76.4243902439025
Haiti,1824.6798742577,62.613
Hungary,19030.628130329,74.0658536585366
Indonesia,4287.17313995098,67.452
Isle of Man,94299.969348965,80.42
India,2239.61384367482,67.282
Ireland,103783.446284479,82.2536585365854
"Iran, Islamic Rep.",4605.14881318992,73.752
Iraq,4868.49431080783,70.704
Iceland,70425.4064277273,83.1658536585366
Israel,52258.4693499398,82.5
Italy,36852.5425414951,82.6463414634146
Jamaica,5625.67806271236,69.085
Jordan,4581.71967230365,74.204
Japan,41580.739040705,84.4456097560976
Kazakhstan,9983.60103576902,70.131
Kenya,2061.35622089594,61.225
Kyrgyz Republic,1349.99730650542,71.9
Cambodia,2167.40324198499,69.301
Kiribati,2223.54147866465,64.148
St. Kitts and Nevis,18361.1449697886,69.271
"Korea, Rep.",37518.4635305697,83.5268292682927
Kuwait,34018.6342592913,78.7365853658537
Lao PDR,2526.05105018529,67.807
Lebanon,4045.37391066234,73.65
Liberia,667.96610514319,61.166
Libya,4935.82787349801,72.062
St. Lucia,10481.1233971786,69.119
Liechtenstein,201944.830335076,84.4024390243902
Sri Lanka,3996.96240531688,76.278
Lesotho,1066.58645143823,54.209
Lithuania,23882.8668916753,74.0365853658537
Luxembourg,134965.815442152,82.5975609756098
Latvia,20261.8887788916,72.9804878048781
"Macao SAR, China",44884.8961602393,83.7292682926829
St. Martin (French part),21668.3776525323,80.206
Morocco,3785.93627929688,73.385
Monaco,223823.327192464,85.113
Moldova,5274.60582195352,68.991
Madagascar,483.469463351195,62.516
Maldives,10176.143882547,78.052
Mexico,10314.0506733708,69.75
Marshall Islands,6315.31172190393,65.421
North Macedonia,7620.80296977508,73.2463414634146
Mali,1027.27345365357,59.116
Malta,38078.0064279067,82.2585365853659
Myanmar,1242.72134419599,65.553
Montenegro,9315.86435643142,73.8243902439024
Mongolia,4517.61578018785,71.6451219512195
Northern Mariana Islands,19455.50139424,78.16
Mozambique,509.907829475551,60.268
Mauritania,1947.47413907209,66.762
Mauritius,9177.71195973013,73.680243902439
Malawi,617.446994451007,64.782
Malaysia,10903.1037480772,73.917
Namibia,4412.8355693052,60.85
New Caledonia,35311.5543551452,77.113
Niger,609.585703670137,59.542
Nigeria,2787.48779220991,53.455
Nicaragua,2138.38573878237,70.478
Netherlands,60141.9880911492,81.309756097561
Norway,96442.5552173002,83.1634146341463
Nepal,1252.75076731986,68.385
Naoero,12748.1701249353,61.331
New Zealand,49902.154346032,82.2073170731707
Oman,19403.4600160211,75.969
Pakistan,1455.31922370186,65.773
Panama,15509.8069109784,77.004
Peru,6828.53422535638,71.596
Philippines,3484.38593882819,66.675
Palau,13267.4877340719,68.563
Papua New Guinea,2607.97769973161,64.358
Poland,18635.5104895754,75.3512195121951
Puerto Rico (US),32618.8705106244,79.77
Portugal,24711.4510062111,81.3780487804878
Paraguay,5974.9057185863,68.108
West Bank and Gaza,3678.63565662194,73.89
French Polynesia,21426.3854449835,79.571
Qatar,71751.8831257169,81.083
Romania,14908.0412813921,72.809756097561
Russian Federation,12425.029296875,69.900243902439
Rwanda,842.581492947672,66.85
Saudi Arabia,31920.7653655643,77.089
Sudan,712.122009277344,64.46
Senegal,1598.10676952274,66.868
Singapore,80884.8565369236,83.0926829268293
Solomon Islands,2043.44413170658,68.89
Sierra Leone,885.396401613729,60.26
El Salvador,4642.60743101342,69.941
San Marino,54168.9744311193,83.539
