year,gdp_per_capita
1960,452.653355677478
1961,471.931933312191
1962,496.105588960377
1963,525.186416425983
1964,563.850666935202
1965,601.888592945637
1966,638.970700706876
1967,664.401307345425
1968,703.462134148118
1969,761.11140319217
1970,817.683493933039
1971,884.878986369128
1972,1002.00152690776
1973,1201.53152954524
1974,1362.18919097786
1975,1488.93763061623
1976,1589.73366543803
1977,1766.27881654492
1978,2055.4940430146
1979,2335.18686803709
1980,2587.00992594104
1981,2628.61699908178
1982,2554.07605312193
1983,2561.16933615596
1984,2614.3302826929
1985,2690.59161836012
1986,3118.57247275326
1987,3487.87666375394
1988,3829.99224771219
1989,3930.50666963009
1990,4338.94333025321
1991,4453.89641554733
1992,4679.98200500774
1993,4685.29564260401
1994,4967.01235983571
1995,5463.19624240532
1996,5507.22343967666
1997,5408.5695352216
1998,5302.33956683372
1999,5401.2271886284
2000,5512.56177163867
2001,5404.20269822848
2002,5539.32465002692
2003,6129.8663827398
2004,6818.00375324836
2005,7290.5661453297
2006,7803.19467222601
2007,8685.33108680793
2008,9425.73781604823
2009,8827.04322994899
2010,9555.06543969498
2011,10496.9310026996
2012,10597.8460782595
2013,10759.3457336689
2014,10912.2447775638
2015,10191.9752512662
2016,10239.4656645738
2017,10784.3950896297
2018,11344.728168656
2019,11417.5958587724
2020,10999.4917581781
2021,12472.9074157191
2022,12876.2377124072
2023,13313.8575826001
2024,13717.0909956338
2025,14405.8484595528
